Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2020-01-01,646.5187377929688,649.2825972971742,642.745890167881,644.8955527208419,2112415
2020-01-02,644.63232421875,649.9844970434491,641.2981811368331,648.3174522788851,5658200
2020-01-03,654.5470581054688,656.3018759556174,643.9304315331854,643.9304315331854,7882938
2020-01-06,648.2736206054688,661.3908959141161,646.211730869028,654.6348358787892,6519403
2020-01-07,638.666015625,651.5638847415463,636.2092276477588,647.5278248694398,7899363
2020-01-08,630.1550903320312,639.6310958563827,621.4687206955816,636.0776004788496,8639443
2020-01-09,638.3588256835938,641.82460150137,626.7331579188731,633.226005110474,13521186
2020-01-10,647.6594848632812,651.8271776782243,640.9472844875701,649.6775148841681,9341405
2020-01-13,678.7196655273438,682.1854415034177,662.4437406238976,666.830785263791,36952038
2020-01-14,680.562255859375,681.7028767542699,673.1481397133713,675.5610142633683,11414418
2020-01-15,673.455078125,678.982742562205,668.7171029871587,678.982742562205,6047430
2020-01-16,672.9725952148438,677.7983439419385,667.0500854134093,676.2190187054466,5740586
2020-01-17,673.7184448242188,678.1494028901801,668.8049760962522,676.2190924781959,3762957
2020-01-20,674.244873046875,679.4654666592495,669.419124146036,677.0086789220459,3887680
2020-01-21,669.0242919921875,676.0435632524334,667.4888264040087,674.2448857025533,4448374
2020-01-22,675.7803344726562,682.6241130705176,672.0952064421806,674.2448689226904,9733935
2020-01-23,688.1956787109375,689.2047204101849,681.4835324706991,681.8344639140262,12528017
2020-01-24,686.7918090820312,690.082092421613,678.7634963123363,680.6499468481453,7540490
2020-01-27,682.7117309570312,688.5903803270573,679.46536140522,683.5452799849749,3741610
2020-01-28,682.6240234375,685.9581660547875,677.3595708145887,685.2562497489556,5121009
2020-01-29,692.8898315429688,695.6097777609314,688.1079422411271,690.1698317722158,6832757
2020-01-30,684.9931030273438,692.889782713332,682.6240884109899,692.889782713332,3859680
2020-01-31,680.825439453125,688.7221194694703,677.008678646885,684.8614989292527,6092028
2020-02-03,673.32373046875,693.9867030108247,670.7792227872212,686.1338812552086,6416745
2020-02-04,691.2665405273438,693.0652715107092,675.6925334516502,675.6925334516502,5771311
2020-02-05,688.3712158203125,689.6434695727041,679.4655466591613,685.2564246008676,6310409
2020-02-06,676.7892456054688,690.3452220586332,675.6047651655771,688.19555982255,7341622
2020-02-07,682.0098876953125,683.3698607008612,676.4822226565361,680.8254071701413,2853344
2020-02-10,678.4125366210938,682.6240884097224,675.3854653642466,679.1144529937341,3827682
2020-02-11,678.7196655273438,683.5892743670672,674.9029581117529,683.5015548953858,4312817
2020-02-12,685.3001708984375,687.2304810770695,680.0795775355872,680.6937744405318,2948825
2020-02-13,695.1273193359375,696.6627851722743,686.3093691006768,688.7661037282561,4387430
2020-02-14,690.0382690429688,701.2252329869426,688.4150303782467,697.1014002735077,5321680
2020-02-17,692.6705322265625,696.1801681579882,687.2744455608778,693.4163084408727,2929629
2020-02-18,699.8652954101562,701.0936358523965,687.5815696709893,688.7660503747198,5083346
2020-02-19,702.322021484375,706.1825888247519,698.5491736199729,701.9271767369017,3985192
2020-02-20,699.2948608398438,707.2792600381049,696.531001512022,704.7786662102942,4564569
2020-02-24,698.2857666015625,712.1049550935612,695.0393969091605,702.0147539724193,6627536
2020-02-25,700.5233154296875,707.1916019174702,697.891088623543,701.0497393697998,6996695
2020-02-26,686.7918090820312,703.19936604597,684.8176390782822,696.6187993668065,8760569
2020-02-27,682.4924926757812,685.0369999114898,677.5351645135069,682.6241254321346,5223386
2020-02-28,642.0001831054688,664.0231278277319,633.5331647407794,658.0567572723551,14123957
2020-03-02,650.2039794921875,672.0076269757845,643.7989040027878,646.6504834753725,9821523
2020-03-03,655.424560546875,665.9534691500377,650.3794585078596,662.4438329489834,7826587
2020-03-04,665.7340698242188,668.1469445418683,654.1522604689419,661.478657652391,11013444
2020-03-05,662.0927734375,678.7196837804078,659.5921793466277,670.1210867655298,7755293
2020-03-06,648.361328125,652.7922324329722,639.7188181849056,650.1600056892909,9216022
2020-03-09,618.0906982421875,636.8672162037459,611.5539913543133,635.6827356329985,10308654
2020-03-11,601.9025268554688,610.632756432225,587.030434759779,605.9824998070195,16165009
2020-03-12,553.8206176757812,587.8640790030074,550.5741933946076,586.1092608567297,13965574
2020-03-13,563.6036376953125,585.2317905046453,500.12311932181086,519.4261169096702,16903113
2020-03-16,511.6610107421875,545.8799571256596,508.8971513439456,545.7483243723003,19140152
2020-03-17,486.91815185546875,519.4261457028315,482.57496644688734,516.0042290650891,16059887
2020-03-18,468.799560546875,507.1423398592479,463.2718952347455,498.36825093434743,15390183
2020-03-19,478.6704406738281,489.5941927824905,446.82050658509553,446.82050658509553,16583991
2020-03-20,513.4596557617188,541.756090404405,480.82003671913304,482.1361499583278,21354894
2020-03-23,461.91192626953125,492.18253332962166,452.65527308200353,473.80080615793645,17146150
2020-03-24,517.4957885742188,527.4544122994552,458.0074724087042,458.0074724087042,20027097
2020-03-25,531.8853759765625,557.1547458659053,496.3503095079496,523.8132020188117,18339548
2020-03-26,564.1739501953125,571.0615889748694,537.0619924428813,539.606499798005,14843813
2020-03-27,572.684814453125,592.1633032440952,563.5158805020125,583.5207932253911,13495283
2020-03-30,549.8721923828125,582.1608306040221,544.9586701963033,548.4683059497563,14624804
2020-03-31,562.8578491210938,580.8447328420328,556.0140699280755,570.3158252980685,15175521
2020-04-01,528.9020385742188,559.348136063445,521.1808514849981,556.5842767935467,13083824
2020-04-03,513.8984375,531.7098286399206,510.7836464091201,529.5163062445414,10221655
2020-04-07,560.664306640625,565.27070352617,537.7639549736033,539.6064923067048,15145605
2020-04-08,554.17138671875,575.2731115840359,549.5649904351302,552.7675540343795,11806896
2020-04-09,558.25146484375,572.7725727864942,554.6101961470306,567.508118894058,11931114
