Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-01,1986.13,2001.06,1973.66,1986.49,1354908
2020-01-02,1977.01,1997.44,1969.27,1997.44,2380752
2020-01-03,2016.41,2036.89,1982.83,1982.83,4655761
2020-01-06,2016.23,2039.59,2004.73,2020.39,3023209
2020-01-07,2021.17,2029.24,2000.97,2016.27,2429317
2020-01-08,2066.44,2070.79,2017.69,2020.39,5197454
2020-01-09,2028.96,2063.41,2024.98,2060.48,3734173
2020-01-10,2028.23,2046.97,2023.14,2041.47,1915807
2020-01-13,2006.97,2033.18,2001.79,2032.17,2843893
2020-01-14,2022.13,2043.12,2011.23,2011.23,2948452
2020-01-15,2040.46,2044.22,2010.50,2027.72,2620681
2020-01-16,2051.36,2060.71,2029.56,2040.51,3117214
2020-01-17,2033.31,2064.88,2027.72,2053.15,3281059
2020-01-20,1988.65,2054.48,1975.68,2011.14,5817599
2020-01-21,1989.29,2003.49,1977.37,1988.28,1902980
2020-01-22,2022.13,2024.98,1991.71,1998.40,1773686
2020-01-23,2012.08,2036.69,2005.42,2029.39,2069866
2020-01-24,2005.15,2012.08,1992.84,2012.08,1319430
2020-01-27,1992.15,2014.38,1988.25,2010.93,1549101
2020-01-28,2005.47,2009.19,1976.31,1996.51,1743024
2020-01-29,1978.70,2008.41,1974.47,2006.61,2306761
2020-01-30,1963.31,1988.25,1951.51,1983.66,2098567
2020-01-31,1909.32,1969.28,1902.47,1964.74,3287223
2020-02-03,1930.85,2015.52,1922.31,1976.31,4728073
2020-02-04,1935.67,1962.26,1916.25,1955.19,3509339
2020-02-05,1971.30,1980.63,1932.50,1942.33,2439322
2020-02-06,1954.59,1996.70,1942.79,1969.88,2640065
2020-02-07,1962.12,1975.39,1946.00,1964.37,2083442
2020-02-10,1985.45,1990.08,1946.00,1966.12,2383032
2020-02-11,1977.59,1997.25,1972.27,1986.41,1335820
2020-02-12,1993.53,2006.61,1974.47,1975.48,1620407
2020-02-13,2013.00,2017.64,1993.76,1995.55,1645948
2020-02-14,2005.88,2031.41,1993.76,2009.37,1500115
2020-02-17,2023.38,2036.00,2011.39,2017.59,1774724
2020-02-18,2034.85,2039.68,2007.58,2020.34,2486223
2020-02-19,2017.04,2047.94,2011.67,2034.85,1760463
2020-02-20,1980.72,2033.61,1975.62,2024.52,2317278
2020-02-24,1942.65,2001.06,1934.71,1979.98,3092877
2020-02-25,1980.12,1998.95,1938.66,1942.79,2674567
2020-02-26,1950.23,1987.24,1940.45,1978.15,2686842
2020-02-27,1933.61,1946.88,1915.88,1946.88,2349001
2020-02-28,1836.86,1900.54,1827.53,1899.17,4298076
2020-03-02,1837.91,1886.26,1823.59,1868.86,2667076
2020-03-03,1869.96,1891.82,1847.74,1855.09,2757585
2020-03-04,1913.13,1923.46,1859.68,1888.15,3237002
2020-03-05,1951.56,1972.41,1913.91,1915.42,3937056
2020-03-06,1943.66,1950.27,1902.47,1926.72,2595027
2020-03-09,1811.33,1910.10,1777.03,1905.60,4940975
2020-03-11,1794.20,1825.06,1763.25,1775.19,6796449
2020-03-12,1625.36,1752.60,1614.80,1748.56,8728786
