Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-01-01,646.52,649.28,642.75,644.90,2112415
2020-01-02,644.63,649.98,641.30,648.32,5658200
2020-01-03,654.55,656.30,643.93,643.93,7882938
2020-01-06,648.27,661.39,646.21,654.63,6519403
2020-01-07,638.67,651.56,636.21,647.53,7899363
2020-01-08,630.16,639.63,621.47,636.08,8639443
2020-01-09,638.36,641.82,626.73,633.23,13521186
2020-01-10,647.66,651.83,640.95,649.68,9341405
2020-01-13,678.72,682.19,662.44,666.83,36952038
2020-01-14,680.56,681.70,673.15,675.56,11414418
2020-01-15,673.46,678.98,668.72,678.98,6047430
2020-01-16,672.97,677.80,667.05,676.22,5740586
2020-01-17,673.72,678.15,668.80,676.22,3762957
2020-01-20,674.24,679.47,669.42,677.01,3887680
2020-01-21,669.02,676.04,667.49,674.25,4448374
2020-01-22,675.78,682.62,672.10,674.24,9733935
2020-01-23,688.20,689.20,681.48,681.83,12528017
2020-01-24,686.79,690.08,678.76,680.65,7540490
2020-01-27,682.71,688.59,679.47,683.55,3741610
2020-01-28,682.62,685.96,677.36,685.26,5121009
2020-01-29,692.89,695.61,688.11,690.17,6832757
2020-01-30,684.99,692.89,682.62,692.89,3859680
2020-01-31,680.83,688.72,677.01,684.86,6092028
2020-02-03,673.32,693.99,670.78,686.13,6416745
2020-02-04,691.27,693.07,675.69,675.69,5771311
2020-02-05,688.37,689.64,679.47,685.26,6310409
2020-02-06,676.79,690.35,675.60,688.20,7341622
2020-02-07,682.01,683.37,676.48,680.83,2853344
2020-02-10,678.41,682.62,675.39,679.11,3827682
2020-02-11,678.72,683.59,674.90,683.50,4312817
2020-02-12,685.30,687.23,680.08,680.69,2948825
2020-02-13,695.13,696.66,686.31,688.77,4387430
2020-02-14,690.04,701.23,688.41,697.10,5321680
2020-02-17,692.67,696.18,687.27,693.42,2929629
2020-02-18,699.87,701.09,687.58,688.77,5083346
