Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-01-01,646.5187377929688,649.2825972971742,642.745890167881,644.8955527208419,2112415
2020-01-02,644.6324462890625,649.9846201272717,641.2983025757782,648.317575047029,5658200
2020-01-03,654.547119140625,656.3019371544069,643.9304915783632,643.9304915783632,7882938
2020-01-06,648.2735595703125,661.3908336439645,646.2116700279993,654.6347742447226,6519403
2020-01-07,638.666015625,651.5638847415463,636.2092276477588,647.5278248694398,7899363
2020-01-08,630.155029296875,639.6310339034055,621.4686605017642,636.0775388700547,8639443
2020-01-09,638.3588256835938,641.82460150137,626.7331579188731,633.226005110474,13521186
2020-01-10,647.659423828125,651.8271162503065,640.9472240849689,649.6774536588337,9341405
2020-01-13,678.7196655273438,682.1854415034177,662.4437406238976,666.830785263791,36952038
2020-01-14,680.562255859375,681.7028767542699,673.1481397133713,675.5610142633683,11414418
2020-01-15,673.4552612304688,678.9829271705886,668.7172848044211,678.9829271705886,6047430
2020-01-16,672.97265625,677.7984054147653,667.0501459114244,676.2190800350369,5740586
2020-01-17,673.7183837890625,678.1493414536036,668.8049155062289,676.2190312164948,3762957
2020-01-20,674.2449340820312,679.4655281669933,669.4191847443475,677.0087402073921,3887680
2020-01-21,669.0242919921875,676.0435632524334,667.4888264040087,674.2448857025533,4448374
2020-01-22,675.7803344726562,682.6241130705176,672.0952064421806,674.2448689226904,9733935
2020-01-23,688.1956176757812,689.2046592855381,681.4834720308342,681.8344034430376,12528017
2020-01-24,686.7919311523438,690.0822150767402,678.7636169556972,680.6500678268038,7540490
2020-01-27,682.7118530273438,688.5905034484848,679.4654828950746,683.5454022043277,3741610
2020-01-28,682.6241455078125,685.9582887213285,677.3596919434849,685.2563722899763,5121009
2020-01-29,692.8898315429688,695.6097777609314,688.1079422411271,690.1698317722158,6832757
2020-01-30,684.9931640625,692.8898444521086,682.6241492350591,692.8898444521086,3859680
